brand,model,year,mileage,price,fuel,type,reliability,insurance_cost,maintenance_cost,suitable_driver_type,color,mpg_city,mpg_highway,safety_rating,cargo_space
Chevrolet,Malibu,2014,171156,11500,Petrol,Sedan,Medium,Medium,Medium,Family;Budget,White,25,36,5,16
Chevrolet,Malibu,2017,108299,14000,Petrol,Sedan,Medium,Medium,Medium,Family;Budget,Silver,27,36,5,16
Chevrolet,Malibu,2020,59754,17500,Petrol,Sedan,Medium,Medium,Medium,Family;Commuter,Gray,29,36,5,16
Chevrolet,Silverado,2010,278250,11500,Petrol,Truck,Medium,Medium,High,Family;Budget,Blue,15,21,4,54
Chevrolet,Silverado,2012,207969,14500,Petrol,Truck,Medium,Medium,High,Family;Budget,Silver,15,21,4,54
Chevrolet,Silverado,2015,168480,19500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,White,16,23,4,53
Chevrolet,Silverado,2017,135319,23000,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Red,20,24,4,53
Chevrolet,Silverado,2017,129337,26000,Petrol,Truck,Medium,Medium,Medium,Work;Family,White,16,23,4,53
Chevrolet,Silverado,2021,44258,33500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Black,16,22,4,53
Chevrolet,Spark,2018,102292,10000,Petrol,Hatchback,Medium,Low,Medium,Student;Budget,Green,30,38,4,11
Chevrolet,Suburban,2011,196986,19500,Petrol,SUV,Medium,High,High,Family,Blue,15,21,4,83
Chevrolet,Suburban,2013,207464,24500,Petrol,SUV,Medium,High,High,Family,Silver,15,21,4,77
Chevrolet,Suburban,2016,128684,32500,Petrol,SUV,Medium,High,High,Family,White,16,23,5,77
Chevrolet,Suburban,2017,124619,35000,Petrol,SUV,Medium,High,High,Family,Black,16,23,5,77
Chevrolet,Suburban,2021,75351,48500,Petrol,SUV,Medium,High,High,Family,Black,16,23,5,77
Chevrolet,Tahoe,2016,145461,28000,Petrol,SUV,Medium,High,High,Family,Black,16,23,5,51
Chevrolet,Traverse,2011,201397,11500,Petrol,SUV,Medium,Medium,Medium,Family,Black,16,23,4,117
Chevrolet,Traverse,2013,260037,14500,Petrol,SUV,Medium,Medium,Medium,Family,Gray,17,24,4,58
Chevrolet,Traverse,2016,166639,18500,Petrol,SUV,Medium,Medium,Medium,Family,White,17,24,5,58
Chevrolet,Traverse,2017,102100,24000,Petrol,SUV,Medium,Medium,Medium,Family,Blue,18,27,5,58
Chevrolet,Traverse,2020,68431,26500,Petrol,SUV,Medium,Medium,Medium,Family,Blue,18,27,5,58
Chevrolet,Trax,2017,137605,15000,Petrol,SUV,Medium,Low,Medium,Student;Family,Blue,26,31,4,19
Chrysler,Pacifica,2017,97154,24500,Petrol,Van,Medium,Medium,Medium,Family,Silver,18,28,5,32
Chrysler,Pacifica,2018,70828,25000,Petrol,Van,Medium,Medium,Medium,Family,White,22,28,5,33
Chrysler,Pacifica,2021,59887,32500,Petrol,Van,Medium,Medium,Medium,Family,White,19,28,5,33
Dodge,Charger,2010,165286,10500,Petrol,Sedan,Medium,High,High,Enthusiast,Red,16,25,4,16
Dodge,Charger,2012,131955,12500,Petrol,Sedan,Medium,High,High,Enthusiast,Silver,18,27,4,16
Dodge,Charger,2015,143371,16500,Petrol,Sedan,Medium,High,High,Enthusiast,White,18,27,5,16
Dodge,Charger,2017,94333,21000,Petrol,Sedan,Medium,High,High,Enthusiast,Black,19,30,5,16
Dodge,Charger,2020,78913,23500,Petrol,Sedan,Medium,High,High,Enthusiast,Black,19,30,5,16
Fiat,500,2011,177220,6500,Petrol,Hatchback,Low,Low,High,Student;Budget,Blue,30,38,4,10
Fiat,500,2012,195557,7500,Petrol,Hatchback,Low,Low,High,Student;Budget,White,30,38,4,10
Fiat,500,2015,158518,9500,Petrol,Hatchback,Low,Low,High,Student;Budget,Red,31,40,4,10
Fiat,500,2017,124008,11000,Petrol,Hatchback,Low,Low,High,Student;Budget,Yellow,28,33,4,10
Fiat,500,2019,113110,13500,Petrol,Hatchback,Low,Low,High,Student;Budget,Yellow,28,33,4,10
Ford,EcoSport,2018,114433,16000,Petrol,SUV,Medium,Medium,Medium,Student;Family,Red,27,29,4,21
Ford,Escape,2017,130535,16500,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Red,23,30,5,34
Ford,Escape,2018,93598,17000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Green,23,30,4,34
Ford,Expedition,2012,163579,18500,Petrol,SUV,Medium,High,High,Family,Blue,13,18,4,63
Ford,Expedition,2014,196860,22500,Petrol,SUV,Medium,High,High,Family,Black,15,21,4,63
Ford,Expedition,2017,120883,28500,Petrol,SUV,Medium,High,High,Family,Gray,17,24,5,63
Ford,Expedition,2018,107278,32000,Petrol,SUV,Medium,High,High,Family,Silver,17,24,5,63
Ford,Expedition,2021,63062,45500,Petrol,SUV,Medium,High,High,Family,White,17,24,5,63
Ford,Explorer,2017,139191,22000,Petrol,SUV,Medium,Medium,High,Family,White,20,28,4,43
Ford,F-150,2010,226521,12500,Petrol,Truck,Medium,Medium,High,Family;Budget,Gray,14,20,4,54
Ford,F-150,2013,192800,16500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Red,15,21,4,52
Ford,F-150,2016,197282,22500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Blue,17,23,5,52
Ford,F-150,2016,131677,24000,Petrol,Truck,Medium,Medium,Medium,Work;Family,Blue,18,25,5,52
Ford,F-150,2018,131216,24000,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Blue,20,26,4,52
Ford,F-150,2022,52468,35500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,White,20,26,5,52
Ford,Focus,2011,188057,6500,Petrol,Hatchback,Medium,Medium,Medium,Student;Budget,Silver,24,35,4,24
Ford,Focus,2013,181401,8500,Petrol,Hatchback,Medium,Medium,Medium,Student;Budget,Blue,26,36,4,24
Ford,Focus,2016,144647,12500,Petrol,Hatchback,Medium,Medium,Medium,Student;Commuter,Red,26,38,4,23
Ford,Focus,2018,95631,13000,Petrol,Hatchback,Medium,Medium,Medium,Student;Budget,Blue,26,36,4,23
Ford,Fusion Hybrid,2012,174977,10500,Hybrid,Sedan,Medium,Low,Low,Family;Budget,Blue,39,36,4,12
Ford,Fusion Hybrid,2015,118244,13500,Hybrid,Sedan,Medium,Low,Low,Commuter;Family,Silver,44,41,5,12
Ford,Fusion Hybrid,2017,120844,18000,Hybrid,Sedan,Medium,Low,Low,Commuter;Family,White,43,41,5,12
Ford,Fusion Hybrid,2019,77519,19500,Hybrid,Sedan,Medium,Low,Low,Commuter;Family,White,43,41,5,12
Ford,Mustang,2010,165918,12500,Petrol,Coupe,Medium,High,High,Enthusiast,Blue,17,26,3,11
Ford,Mustang,2012,148549,14500,Petrol,Coupe,Medium,High,High,Enthusiast,White,19,31,3,11
Ford,Mustang,2015,99658,18500,Petrol,Coupe,Medium,High,High,Enthusiast,Black,17,28,3,13
Ford,Mustang,2016,103144,19500,Petrol,Coupe,Medium,High,Medium,Enthusiast,Red,21,31,4,13
Ford,Mustang,2017,66851,23000,Petrol,Coupe,Medium,High,High,Enthusiast,Red,21,31,4,13
Ford,Mustang,2020,56476,26500,Petrol,Coupe,Medium,High,High,Enthusiast,Red,21,32,4,13
Ford,Transit,2018,92068,24000,Petrol,Van,Medium,Medium,High,Family,White,14,19,3,246
Ford,Transit Connect,2017,95536,19000,Petrol,Van,Medium,Medium,High,Family;Budget,Silver,24,29,4,45
GMC,Acadia,2011,235670,12500,Petrol,SUV,Medium,Medium,Medium,Family,Blue,17,24,4,116
GMC,Acadia,2013,177039,15500,Petrol,SUV,Medium,Medium,Medium,Family,Black,17,24,4,43
GMC,Acadia,2016,121929,19500,Petrol,SUV,Medium,Medium,Medium,Family,White,18,25,4,43
GMC,Acadia,2017,97797,23000,Petrol,SUV,Medium,Medium,Medium,Family,White,21,26,4,42
GMC,Acadia,2020,96413,28500,Petrol,SUV,Medium,Medium,Medium,Family,Gray,21,26,4,42
GMC,Sierra,2010,256706,11500,Petrol,Truck,Medium,Medium,High,Family;Budget,Red,15,21,4,54
GMC,Sierra,2012,238017,14500,Petrol,Truck,Medium,Medium,High,Family;Budget,Black,15,21,4,54
GMC,Sierra,2015,194464,19500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Gray,16,23,4,53
GMC,Sierra,2017,115169,24000,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,Silver,20,24,4,53
GMC,Sierra,2021,71791,35500,Petrol,Truck,Medium,Medium,High,Family;Enthusiast,White,16,22,4,53
GMC,Terrain,2018,105406,20000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,White,26,30,4,30
Genesis,G70,2019,67833,28000,Petrol,Sedan,High,High,Medium,Enthusiast;Commuter,Gray,22,30,5,11
Genesis,G70,2020,63347,29500,Petrol,Sedan,High,High,Medium,Enthusiast;Commuter,Black,22,30,5,11
Genesis,G70,2021,42776,32500,Petrol,Sedan,High,High,Medium,Enthusiast;Commuter,White,22,32,5,11
Genesis,G80,2017,124490,26500,Petrol,Sedan,High,High,Medium,Enthusiast;Family,Gray,17,24,5,15
Genesis,G80,2021,46191,38500,Petrol,Sedan,High,High,Medium,Enthusiast;Family,Silver,23,32,5,16
Genesis,G90,2018,80113,32500,Petrol,Sedan,High,High,Medium,Enthusiast;Family,White,17,24,5,13
Genesis,G90,2020,52896,42500,Petrol,Sedan,High,High,Medium,Enthusiast;Family,Black,17,25,5,13
Honda,Accord,2011,175210,10500,Petrol,Sedan,High,Medium,Medium,Family;Budget,Red,23,34,5,14
Honda,Accord,2013,165145,12500,Petrol,Sedan,High,Medium,Low,Family;Commuter,Black,27,36,5,16
Honda,Accord,2014,131339,14500,Petrol,Sedan,High,Medium,Low,Family;Commuter,Gray,27,36,5,16
Honda,Accord,2018,91474,20000,Petrol,Sedan,High,Medium,Low,Family;Commuter,Blue,30,38,5,16
Honda,Accord,2018,76295,22736,Petrol,Sedan,High,Medium,Low,Family;Commuter,Black,30,38,5,16
Honda,Accord,2018,124472,17765,Petrol,Sedan,High,Medium,Low,Family;Commuter,Blue,30,38,5,16
Honda,Accord,2018,160916,16749,Petrol,Sedan,High,Medium,Low,Family;Commuter,Blue,30,38,5,16
Honda,Accord,2021,59314,24500,Petrol,Sedan,High,Medium,Low,Family;Commuter,White,30,38,5,16
Honda,Accord Hybrid,2014,111715,16500,Hybrid,Sedan,High,Medium,Low,Family;Commuter,Silver,50,45,5,14
Honda,Accord Hybrid,2014,161025,13450,Hybrid,Sedan,High,Medium,Low,Family;Commuter,Silver,50,45,5,14
Honda,Accord Hybrid,2014,198564,13531,Hybrid,Sedan,High,Medium,Low,Family;Commuter,Silver,50,45,5,14
Honda,Accord Hybrid,2014,114186,16500,Hybrid,Sedan,High,Medium,Low,Family;Commuter,Silver,50,45,5,14
Honda,Accord Hybrid,2018,83875,22500,Hybrid,Sedan,High,Medium,Low,Family;Commuter,Black,47,47,5,16
Honda,Accord Hybrid,2021,44360,26500,Hybrid,Sedan,High,Medium,Low,Family;Commuter,White,48,48,5,16
Honda,CR-V,2011,212348,12500,Petrol,SUV,High,Medium,Medium,Family;Commuter,Gray,23,31,5,37
Honda,CR-V,2011,178746,14588,Petrol,SUV,High,Medium,Medium,Family;Commuter,Gray,23,31,5,37
Honda,CR-V,2011,325580,9706,Petrol,SUV,High,Medium,Medium,Family;Commuter,Gray,23,31,5,37
Honda,CR-V,2015,100999,17500,Petrol,SUV,High,Medium,Medium,Family;Commuter,Red,26,33,5,37
Honda,CR-V,2018,94463,21000,Petrol,SUV,High,Medium,Medium,Family;Commuter,Gray,28,34,5,39
Honda,CR-V,2022,56413,26500,Petrol,SUV,High,Medium,Medium,Family;Commuter,White,28,34,5,39
Honda,CR-V Hybrid,2020,76500,26500,Hybrid,SUV,High,Medium,Medium,Family;Commuter,Blue,40,35,5,39
Honda,CR-V Hybrid,2020,86397,26500,Hybrid,SUV,High,Medium,Medium,Family;Commuter,Blue,40,35,5,39
Honda,CR-V Hybrid,2020,55680,28822,Hybrid,SUV,High,Medium,Medium,Family;Commuter,Blue,40,35,5,39
Honda,CR-V Hybrid,2020,66273,28583,Hybrid,SUV,High,Medium,Medium,Family;Commuter,Blue,40,35,5,39
Honda,CR-V Hybrid,2021,65421,28500,Hybrid,SUV,High,Medium,Medium,Family;Commuter,Gray,40,35,5,39
Honda,Civic,2010,223130,8500,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Gray,25,36,4,12
Honda,Civic,2011,188915,9500,Petrol,Sedan,High,Low,Low,Student;Budget,Blue,28,36,5,12
Honda,Civic,2014,161719,11500,Petrol,Sedan,High,Low,Low,Student;Budget,Silver,28,36,5,12
Honda,Civic,2019,80254,17000,Petrol,Sedan,High,Low,Low,Student;Commuter;Family,Silver,32,42,5,15
Honda,Civic,2019,119537,14417,Petrol,Sedan,High,Low,Low,Student;Commuter;Family,Green,32,42,5,15
Honda,Civic,2021,49993,21000,Petrol,Sedan,High,Low,Low,Student;Commuter;Family,White,32,42,5,15
Honda,Clarity,2018,74810,21000,Hybrid,Sedan,High,Low,Low,Commuter;Student,Blue,110,103,5,15
Honda,Clarity,2019,62027,21500,Hybrid,Sedan,High,Low,Low,Commuter;Student,White,110,103,5,15
Honda,Clarity,2019,96047,17284,Hybrid,Sedan,High,Low,Low,Commuter;Student,White,110,103,5,15
Honda,Clarity,2020,55860,23500,Hybrid,Sedan,High,Low,Low,Commuter;Student,Blue,110,103,5,15
Honda,Fit,2018,92457,14000,Petrol,Hatchback,High,Low,Low,Student;Budget,Yellow,33,41,4,16
Honda,Fit,2018,84849,13500,Petrol,Hatchback,High,Low,Low,Student;Urban,Orange,33,41,5,16
Honda,Fit,2018,109635,14000,Petrol,Hatchback,High,Low,Low,Student;Budget,Yellow,33,41,4,16
Honda,HR-V,2017,122778,18000,Petrol,SUV,High,Low,Low,Student;Family,Gray,28,34,4,24
Honda,Insight,2012,157672,8500,Hybrid,Sedan,Medium,Low,Low,Student;Budget,White,41,44,4,11
Honda,Insight,2019,79678,18000,Hybrid,Sedan,High,Low,Low,Commuter;Student,Blue,55,49,5,15
Honda,Insight,2020,54219,19500,Hybrid,Sedan,High,Low,Low,Commuter;Student,Gray,55,49,5,15
Honda,Odyssey,2010,158462,13500,Petrol,Van,High,Medium,Medium,Family,Silver,17,25,4,38
Honda,Odyssey,2012,116985,16500,Petrol,Van,High,Medium,Medium,Family,White,17,25,5,38
Honda,Odyssey,2015,141252,21500,Petrol,Van,High,Medium,Medium,Family,Blue,18,27,5,38
Honda,Odyssey,2017,93057,27000,Petrol,Van,High,Medium,Medium,Family,Silver,19,28,5,39
Honda,Odyssey,2020,53797,32500,Petrol,Van,High,Medium,Medium,Family,Gray,19,28,5,39
Honda,Passport,2019,92033,29000,Petrol,SUV,High,Medium,Medium,Family;Commuter,Gray,20,25,5,41
Honda,Pilot,2018,85418,25000,Petrol,SUV,High,Medium,Medium,Family,Gray,20,27,5,47
Honda,Ridgeline,2014,154430,21500,Petrol,Truck,High,Medium,Medium,Family;Enthusiast,Silver,15,21,5,34
Honda,Ridgeline,2017,128047,26000,Petrol,Truck,High,Medium,Medium,Family;Enthusiast,White,19,26,5,34
Honda,Ridgeline,2020,68805,32500,Petrol,Truck,High,Medium,Medium,Family;Enthusiast,Black,18,24,5,34
Hyundai,Accent,2016,116185,9200,Petrol,Sedan,Medium,Low,Low,Student;Budget,Red,28,38,4,13
Hyundai,Accent,2018,94374,13000,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Silver,28,38,4,14
Hyundai,Elantra,2011,191494,6500,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Gray,28,38,4,14
Hyundai,Elantra,2014,127056,9500,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Silver,28,38,4,14
Hyundai,Elantra,2017,108923,12000,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Red,32,40,5,14
Hyundai,Elantra,2022,43589,18500,Petrol,Sedan,Medium,Low,Medium,Student;Commuter,Black,31,41,5,14
Hyundai,Ioniq,2018,78294,17000,Hybrid,Sedan,Medium,Low,Low,Commuter;Student,Red,57,59,5,26
Hyundai,Ioniq,2019,67995,18500,Hybrid,Sedan,Medium,Low,Low,Commuter;Student,Blue,55,54,5,26
Hyundai,Ioniq,2020,56508,19500,Hybrid,Sedan,Medium,Low,Low,Commuter;Student,Red,57,59,5,26
Hyundai,Tucson,2018,99629,18000,Petrol,SUV,Medium,Low,Medium,Family;Commuter,White,23,28,5,31
Infiniti,Q50,2014,136170,16500,Petrol,Sedan,Medium,High,Medium,Enthusiast;Commuter,Silver,20,29,5,13
Infiniti,Q50,2016,108032,19500,Petrol,Sedan,Medium,High,Medium,Enthusiast;Commuter,Black,22,30,5,13
Infiniti,Q50,2020,44484,26500,Petrol,Sedan,Medium,High,Medium,Enthusiast;Commuter,White,23,30,5,13
Infiniti,Q60,2018,60099,32000,Petrol,Coupe,Medium,High,Medium,Enthusiast,White,20,27,5,9
Infiniti,QX50,2018,102667,27000,Petrol,SUV,Medium,High,Medium,Enthusiast;Family,Silver,24,31,5,31
Infiniti,QX60,2011,212294,13500,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Blue,19,26,4,16
Infiniti,QX60,2013,154072,16500,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Black,21,28,5,16
Infiniti,QX60,2016,148108,21500,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,White,21,28,5,16
Infiniti,QX60,2021,80922,32500,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Gray,22,28,5,16
Jaguar,F-Pace,2017,131052,35000,Petrol,SUV,Medium,High,High,Enthusiast;Family,Green,18,23,5,34
Jaguar,XE,2016,157017,19500,Petrol,Sedan,Medium,High,High,Enthusiast,White,23,33,4,16
Jaguar,XE,2017,100920,21500,Petrol,Sedan,Medium,High,High,Enthusiast,Black,21,30,4,16
Jaguar,XE,2020,71391,28500,Petrol,Sedan,Medium,High,High,Enthusiast,Red,25,34,4,16
Jeep,Cherokee,2018,115418,20000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Red,23,31,4,25
Jeep,Compass,2017,143208,18000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Green,23,32,4,27
Jeep,Wrangler,2011,209054,16500,Petrol,SUV,Medium,High,High,Enthusiast,Blue,15,19,3,31
Jeep,Wrangler,2013,232277,18500,Petrol,SUV,Medium,High,High,Enthusiast,Red,17,21,3,31
Jeep,Wrangler,2016,113705,24500,Petrol,SUV,Medium,High,High,Enthusiast,Black,17,21,3,31
Jeep,Wrangler,2017,134001,24000,Petrol,SUV,Medium,High,High,Enthusiast,Green,17,25,3,31
Jeep,Wrangler,2022,42019,33500,Petrol,SUV,Medium,High,High,Enthusiast,Green,22,24,3,31
Kia,Forte,2011,209934,6500,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Blue,26,36,4,14
Kia,Forte,2014,166023,9500,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Red,26,36,4,15
Kia,Forte,2018,82579,14000,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Black,31,41,4,15
Kia,Forte,2021,45942,16500,Petrol,Sedan,Medium,Low,Medium,Student;Commuter,White,31,41,4,15
Kia,Niro,2017,116435,16000,Hybrid,SUV,Medium,Low,Low,Commuter;Family,Green,50,45,5,19
Kia,Niro,2018,111703,17500,Hybrid,SUV,Medium,Low,Low,Commuter;Family,White,50,45,5,19
Kia,Niro,2020,100342,19500,Hybrid,SUV,Medium,Low,Low,Commuter;Family,Green,53,48,5,19
Kia,Rio,2017,87402,12000,Petrol,Sedan,Medium,Low,Medium,Student;Budget,Red,29,37,4,14
Kia,Rio,2017,76400,10500,Petrol,Hatchback,Medium,Low,Low,Student;Budget,Blue,32,40,4,17
Kia,Sorento,2017,94019,19000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Gray,22,29,5,38
Land Rover,Discovery Sport,2015,156405,22500,Petrol,SUV,Medium,High,High,Enthusiast;Family,White,18,25,4,23
Land Rover,Discovery Sport,2017,149644,26500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,20,25,4,23
Land Rover,Discovery Sport,2021,73753,35500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Green,21,25,4,23
Land Rover,Range Rover Evoque,2012,214995,19500,Petrol,SUV,Medium,High,High,Enthusiast,Gray,18,26,4,20
Land Rover,Range Rover Evoque,2014,176484,22500,Petrol,SUV,Medium,High,High,Enthusiast,Silver,20,28,4,20
Land Rover,Range Rover Evoque,2017,108683,28500,Petrol,SUV,Medium,High,High,Enthusiast,White,21,30,4,21
